"Kod";"Jednostka terytorialna";"Kierunki wykorzystania powierzchni";"Lata";"Jednostka miary";"Wartość";
"1465058";"Mokotów - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";32;
"1465058";"Mokotów - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";124;
"1465058";"Mokotów - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465058";"Mokotów - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";100;
"1465058";"Mokotów - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";24;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";2486;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";795;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";193;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";594;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";60;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";177;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";626;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";14;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";27;
"1465058";"Mokotów - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465058";"Mokotów - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465058";"Mokotów - dzielnica (8)";"nieużytki";"2014";"ha";71;
"1465058";"Mokotów - dzielnica (8)";"tereny różne";"2014";"ha";72;
"1465068";"Ochota - dzielnica (8)";"ogółem";"2014";"ha";972;
"1465068";"Ochota - dzielnica (8)";"użytki rolne razem";"2014";"ha";25;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";23;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - sady";"2014";"ha";1;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";1;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";942;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";261;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";53;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";269;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";14;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";114;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";202;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";27;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";2;
"1465068";"Ochota - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465068";"Ochota - dzielnica (8)";"nieużytki";"2014";"ha";5;
"1465068";"Ochota - dzielnica (8)";"tereny różne";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"ogółem";"2014";"ha";2238;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne razem";"2014";"ha";128;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";123;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - sady";"2014";"ha";1;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - łąki trwałe";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - pastwiska trwałe";"2014";"ha";2;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - grunty rolne zabudowane";"2014";"ha";1;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - grunty pod stawami";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"użytki rolne - grunty pod rowami";"2014";"ha";1;
"1465078";"Praga-Południe - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione razem";"2014";"ha";65;
"1465078";"Praga-Południe - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - lasy";"2014";"ha";64;
"1465078";"Praga-Południe - dzielnica (8)";"grunty leśne oraz zadrzewione i zakrzewione - grunty zadrzewione i zakrzewione";"2014";"ha";1;
"1465078";"Praga-Południe - dzielnica (8)";"grunty pod wodami razem";"2014";"ha";149;
"1465078";"Praga-Południe - dzielnica (8)";"grunty pod wodami morskimi wewnętrznymi";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"grunty pod wodami powierzchniowymi płynącymi";"2014";"ha";147;
"1465078";"Praga-Południe - dzielnica (8)";"grunty pod wodami powierzchniowymi stojącymi";"2014";"ha";2;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane razem";"2014";"ha";1875;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny mieszkaniowe";"2014";"ha";599;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny przemysłowe";"2014";"ha";112;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny inne zabudowane";"2014";"ha";220;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny zurbanizowane niezabudowane";"2014";"ha";82;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny rekreacji i wypoczynku";"2014";"ha";186;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - drogi";"2014";"ha";414;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - kolejowe";"2014";"ha";251;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - tereny komunikacyjne - inne";"2014";"ha";11;
"1465078";"Praga-Południe - dzielnica (8)";"grunty zabudowane i zurbanizowane - użytki kopalne";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"użytki ekologiczne";"2014";"ha";0;
"1465078";"Praga-Południe - dzielnica (8)";"nieużytki";"2014";"ha";2;
"1465078";"Praga-Południe - dzielnica (8)";"tereny różne";"2014";"ha";19;
"1465088";"Praga-Północ - dzielnica (8)";"ogółem";"2014";"ha";1142;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne razem";"2014";"ha";38;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - grunty orne";"2014";"ha";38;
"1465088";"Praga-Północ - dzielnica (8)";"użytki rolne - sady";"2014";"ha";0;
